hospital_name,hospital_type,address,city,state,pincode,schemes_accepted,nabh_accredited,phone,opd_timings,data_confidence,source_notes
"LLRM Medical College & Associated SVBP Hospital","Govt","Garh Road, Meerut, Uttar Pradesh 250002 (also seen as 250004)","Meerut","Uttar Pradesh","250002","PM-JAY","Not confirmed","0121-2760888 / 0121-2763647","Not confirmed - verify","Full","meerut.nic.in; bajajfinserv PMJAY article; doctorsgallery.com"
"Pyare Lal Sharma District Hospital","Govt","Ahmad Road, Near Ghanta Ghar, Meerut, Uttar Pradesh 250002","Meerut","Uttar Pradesh","250002","PM-JAY","Not confirmed","0121-2404850","Not confirmed - verify","Full","meerut.nic.in; bajajfinserv PMJAY article"
"Anand Hospital, Meerut","Private","A-1, Damodor Colony, Garh Road, Near Medical College, Meerut, Uttar Pradesh 250002","Meerut","Uttar Pradesh","250002","PM-JAY","Not confirmed","Not confirmed","Approx Mon-Sun 9AM-5PM (varies by doctor)","Full","Practo, Lybrate, HexaHealth; bajajfinserv PMJAY article"
"KMC Hospital & Research Centre (KMC Super Speciality Hospital & Heart Centre)","Private","187, Baghpat Road, Near Anurag Cinema, Guru Nanak Nagar, Malyana, Meerut, Uttar Pradesh 250002","Meerut","Uttar Pradesh","250002","PM-JAY","Yes","Not confirmed","Mon-Sun 9AM-5PM","Full","myupchar.com, Practo, Vaidam.com; bajajfinserv PMJAY article"
"Metro Hospital and Heart Institute, Meerut","Private","No. 47, G-5, Boundary Road, Lal Kurti, Jawahar Nagar, Meerut, Uttar Pradesh 250001","Meerut","Uttar Pradesh","250001","Not confirmed - do not mark PM-JAY","Yes (NABH + NABL)","Not confirmed","Mon-Sun 9AM-5PM","Full","Credihealth, Vaidam, Practo, myupchar.com"
"District Women Hospital, Meerut","Govt","Ahmed Rd, Khair Nagar / Jali Kothi, Meerut, Uttar Pradesh 250002","Meerut","Uttar Pradesh","250002","Not confirmed","Not confirmed","Not confirmed","Mon-Sun 11:00 AM - 5:00 PM","Full","Practo, TabletWise (note: no ambulance service reported)"
"Seeds of Innocence, Meerut","Private (IVF)","Pooja Arcade, Shivaji Road, Opposite NAS College, Meerut, Uttar Pradesh 250002","Meerut","Uttar Pradesh","250002","Not confirmed","Not confirmed","Not confirmed","Daily 10:00 AM - 4:00 PM","Full","myupchar.com"
"Indira IVF Fertility Center, Meerut","Private (IVF)","Eves Hospital, 3rd Floor, Eves Crossing, Hapur Road, Meerut, Uttar Pradesh 250001","Meerut","Uttar Pradesh","250001","Not confirmed","Not confirmed","Not confirmed","Daily 9:00 AM - 6:00 PM","Full","myupchar.com"
"Apusnova Multispeciality Hospital & Trauma Center","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Subharti Hospital","Private","Meerut, Uttar Pradesh (Subharti University campus)","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Lakshya Superspeciality Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Vardhman Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Yashlok Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Vinayak Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Kailashi Superspeciality Hospital & Heart Center","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"S.M. Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Lifeline Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Meerut Life Line Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing (possibly same group as Lifeline Hospital - verify)"
"Valentis Cancer Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Holy Family Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Sun City Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Kiran Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Ganpati Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Shubham Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Shanti Nursing Home","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Mangal Nursing Home","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Tayal Nursing Home","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Lakhanpal Nursing Home","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Ashutosh Nursing Home","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Neel Kamal Nursing Home","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Balwanti Nursing Home","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Devlok Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Lokpriya Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Nutema Hospital, Meerut","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Divyajyoti Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Shivaji Eye Hospital","Private (Eye)","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Prakash Eye Hospital","Private (Eye)","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Vinod Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Sapna Maternity","Private (Maternity)","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Birla Fertility & IVF, Meerut","Private (IVF)","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
"Savita Hospital","Private","Meerut, Uttar Pradesh","Meerut","Uttar Pradesh","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Not confirmed","Name-only-verify","Practo directory listing"
